cik,entityName
31462,ECOLAB INC.
31667,EDUCATIONAL DEVELOPMENT CORPORATION
31704,TWENTY SERVICES INC
31791,"REVVITY, INC"
31978,EL PASO ELECTRIC CO /TX/
31986,EL PASO NATURAL GAS CO
32166,ELECTRO RENT CORP
32567,EMERGE HEALTH INTERNATIONAL INC
32604,EMERSON ELECTRIC CO.
32621,EMERSON RADIO CORP
32689,EMPIRE DISTRICT ELECTRIC CO
32776,EMPIRE STATE BUILDING ASSOCIATES L.L.C.
32878,ENERGY CONVERSION DEVICES INC
33002,"ENNIS, INC."
33113,ENVIRONMENTAL TECTONICS CORP
33185,EQUIFAX INC
33213,EQT CORPORATION
33488,"ESCALADE, INCORPORATED"
33533,ESPEY MFG. & ELECTRONICS CORP.
33619,ESTERLINE TECHNOLOGIES CORP
33769,BOB EVANS FARMS INC
33992,"KINGSTONE COMPANIES, INC."
34067,DMC GLOBAL INC.
34088,Exxon Mobil Corporation
34115,CLAIRES STORES INC
34285,RELIABILITY INCORPORATED
34408,FAMILY DOLLAR STORES INC
34563,FARMER BROTHERS CO
34782,1st Source Corp
34903,FEDERAL REALTY INVESTMENT TRUST
34956,"TENAX THERAPEUTICS, INC."
35214,FERRO CORPORATION
35527,FIFTH THIRD BANCORP
36029,"First Financial Bankshares, Inc."
36047,"CORELOGIC, INC."
36104,US BANCORP \DE\
36146,Trustmark Corp
36270,M&T BANK CORPORATION
36369,FIRST HARTFORD CORP
36377,"FIRST HAWAIIAN, INC."
36506,MACKINAC FINANCIAL CORPORATION
36840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY
36966,FIRST HORIZON CORP
37008,WINTHROP REALTY LIQUIDATING TRUST
37049,FIRST WEST VIRGINIA BANCORP INC
37472,"FLEXSTEEL INDUSTRIES, INC."
37634,FLORIDA POWER & LIGHT CO
37748,MASSEY ENERGY CO
37785,FMC CORPORATION
37808,FNB CORP/PA/
37996,Ford Motor Co
38009,Ford Motor Credit Co LLC
38067,FOREST CITY ENTERPRISES INC
38074,FOREST LABORATORIES INC
38079,SABINE OIL & GAS CORP
38264,"FORWARD INDUSTRIES, INC."
38723,1st FRANKLIN FINANCIAL CORPORATION
38725,"FRANKLIN ELECTRIC CO., INC."
38777,"FRANKLIN RESOURCES, INC."
38984,"REAL INDUSTRY, INC."
39020,"FREQUENCY ELECTRONICS, INC."
39047,FRISCHS RESTAURANTS INC
39092,FRIEDMAN INDUSTRIES INC
39263,"Cullen/Frost Bankers, Inc."
39273,FROZEN FOOD EXPRESS INDUSTRIES INC
39311,INDEPENDENT BANK CORPORATION
39368,FULLER H B CO
39648,G&K SERVICES INC
39677,"AV HOMES, INC."
39899,TEGNA INC.
39911,"GAP, INC"
40194,GATEWAY ENERGY CORP/NE
40211,GATX Corporation
40528,"MEDCLEAN TECHNOLOGIES, INC."
40533,GENERAL DYNAMICS CORPORATION
40545,GENERAL ELECTRIC COMPANY
40554,GENERAL ELECTRIC CAPITAL CORP
40570,GEE GROUP INC.
40704,"GENERAL MILLS, INC."
40729,Ally Financial Inc.
40730,MOTORS LIQUIDATION CO
40888,"Aerojet Rocketdyne Holdings, Inc."
40987,GENUINE PARTS CO
41023,GEORESOURCES INC
41719,Glatfelter Corporation
42136,"CHANG-ON INTERNATIONAL, INC."
42228,GOLDEN ENTERPRISES INC
42284,WHITEMARK HOMES INC
42316,GOLDFIELD CORP
42542,GOODRICH CORP
42582,THE GOODYEAR TIRE & RUBBER COMPANY
42682,The Gorman-Rupp Company
42888,GRACO INC.
43196,GRAY TELEVISION INC
43300,GREAT ATLANTIC & PACIFIC TEA CO INC
43350,GAS NATURAL INC.
43410,GREAT NORTHERN IRON ORE PROPERTIES
43920,"GREIF, INC."
44689,GYRODYNE CO OF AMERICA INC
45012,HALLIBURTON COMPANY
45621,AMEXDRUG CORP
45876,ENVIRI CORPORATION
45919,HARTE HANKS INC
45947,TALCOTT RESOLUTION LIFE INSURANCE CO
46080,"HASBRO, INC."
46129,ALLIED MOTION TECHNOLOGIES INC
46195,BANK OF HAWAII CORPORATION
46207,HAWAIIAN ELECTRIC CO INC
46250,"HAWKINS, INC."
46619,HEICO CORPORATION
46640,HEINZ H J CO
46765,"HELMERICH & PAYNE, INC."
47111,HERSHEY CO
47129,HERTZ CORP
47217,HP INC.
47307,CRAWFORD UNITED Corp
47518,"HILL-ROM HOLDINGS, INC."
48039,HOLLYFRONTIER CORP
48287,HNI Corporation
48465,HORMEL FOODS CORPORATION
48732,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC
48898,HUBBELL INC
49071,HUMANA INC
49196,Huntington Bancshares Incorporated
49534,LIFE PARTNERS HOLDINGS INC
49600,"EASTGROUP PROPERTIES, INC."
49615,ID SYSTEMS INC
49648,IDAHO POWER CO
49728,IEC ELECTRONICS CORP
49754,"Dine Brands Global, Inc."
49826,ILLINOIS TOOL WORKS INC
49930,IMPERIAL INDUSTRIES INC
49938,IMPERIAL OIL LIMITED
50104,ANDEAVOR
50292,IEH Corp
50471,"PARK CITY GROUP, INC."
50493,"INGLES MARKETS, INC"
50725,GRIFFON CORPORATION
50863,INTEL CORPORATION
50957,FURNITURE BRANDS INTERNATIONAL INC
51011,INTERDYNE COMPANY
51143,INTERNATIONAL BUSINESS MACHINES CORPORATION
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC
51434,INTERNATIONAL PAPER COMPANY
51548,INTERNATIONAL SPEEDWAY CORP
51644,"INTERPUBLIC GROUP OF COMPANIES, INC."
52428,AMERIPRISE CERTIFICATE CO
52795,ANIXTER INTERNATIONAL INC
52827,RAYONIER INC.
52988,JACOBS SOLUTIONS INC.
53320,STRATEGIC INTERNET INVESTMENTS INC
53500,"NEW BASTION DEVELOPMENT, INC."
53669,JOHNSON CONTROLS INC
54187,MAYS J W INC
54381,KAMAN CORPORATION
54441,FURMANITE CORP
54473,KANSAS CITY LIFE INSURANCE CO
54480,KANSAS CITY SOUTHERN
54507,WESTAR ENERGY INC /KS
54681,KATY INDUSTRIES INC
55067,KELLOGG COMPANY
55135,"KELLY SERVICES, INC."
55234,KENILWORTH SYSTEMS CORPORATION
55242,KENNAMETAL INC.
55362,INVESTORS HERITAGE CAPITAL CORP
55387,KENTUCKY UTILITIES CO
55529,KEWAUNEE SCIENTIFIC CORPORATION
55604,KEYSTONE CONSOLIDATED INDUSTRIES INC
55772,"KIMBALL INTERNATIONAL, INC."
55785,KIMBERLY-CLARK CORPORATION
56047,KIRBY CORPORATION
56679,KORN FERRY
56701,KOSS CORPORATION
56868,PrimeEnergy Resources Corporation
56873,The Kroger Co.
56978,"KULICKE AND SOFFA INDUSTRIES, INC."
57055,KV PHARMACEUTICAL CO /DE/
57131,LA-Z-BOY INCORPORATED
57183,Spire Missouri Inc.
57515,Lancaster Colony Corporation
57528,"SNYDER'S-LANCE, INC."
57725,"LANNETT COMPANY, INC"
58361,"LEE ENTERPRISES, INCORPORATED"
58492,"LEGGETT & PLATT, INC"
58592,4LICENSING CORP
58822,LESCARDEN INC
59255,"VALHI, INC."
59440,VECTOR GROUP LTD
59478,ELI LILLY AND COMPANY
59527,LINCOLN ELECTRIC HOLDINGS INC
59558,LINCOLN NATIONAL CORPORATION
59860,Goldrich Mining Company
60086,LOEWS CORP
60519,LOUISIANA-PACIFIC CORPORATION
60667,LOWES COMPANIES INC
60714,"LSB Industries, Inc."
60751,LUBRIZOL CORP
60849,LUFKIN INDUSTRIES INC
60876,CYBEX INTERNATIONAL INC
60977,"LYDALL, INC."
61004,LGL GROUP INC
61339,MADISON GAS & ELECTRIC CO
61398,TELLURIAN INC. /DE/
61986,"The Manitowoc Company, Inc."
62234,MARCUS CORP
62709,"Marsh & McLennan Companies, Inc."
62996,Masco Corporation
63276,MATTEL INC /DE/
63296,MATTHEWS INTERNATIONAL CORP
63330,"MAUI LAND & PINEAPPLE COMPANY, INC."
63754,MCCORMICK & CO INC
63908,McDONALD’S CORPORATION
64040,S&P Global Inc.
64279,MCMORAN EXPLORATION CO /DE/
64463,"Soluna Holdings, Inc."
64472,"GENCOR INDUSTRIES, INC."
64670,MEDTRONIC INC
64803,CVS HEALTH CORPORATION
64978,MERCK SHARP & DOHME CORP.
64996,MERCURY GENERAL CORPORATION
65011,"Hawkeye Acquisition, Inc."
65100,"MERRILL LYNCH & CO., INC."
65172,MESABI TRUST
65201,MET PRO CORP
65270,"METHODE ELECTRONICS, INC."
65312,"EVI INDUSTRIES, INC."
65596,Siebert Financial Corp.
65759,"MICROPAC INDUSTRIES, INC."
65770,"MicroVision, Inc."
65984,ENTERGY CORPORATION
66004,MIDDLESEX WATER COMPANY
66382,"MillerKnoll, Inc."
66418,MEXCO ENERGY CORPORATION
66496,MILLS MUSIC TRUST
66570,MSA SAFETY INC
66600,"Quad     M Solutions, Inc."
66649,MINES MANAGEMENT INC
66740,3M COMPANY
66756,"ALLETE, Inc."
67215,"DYCOM INDUSTRIES, INC."
67279,MOCON INC
67347,MODINE MANUFACTURING CO
67472,MOLEX INC
67517,MONARCH CEMENT CO
67625,MONMOUTH REAL ESTATE INVESTMENT CORPORATION
67716,MDU RESOURCES GROUP INC
67887,MOOG Inc.
68145,MORGANS FOODS INC
68270,RUBY TUESDAY INC
68505,"MOTOROLA SOLUTIONS, INC."
68589,QUESTAR GAS CO
68622,QWEST CORPORATION
68709,MTS SYSTEMS CORPORATION
69422,THE INTERGROUP CORPORATION
69488,"Myers Industries, Inc."
69499,MYLAN INC.
69633,"NAPCO SECURITY TECHNOLOGIES, INC"
69671,NASH FINCH CO
69733,"NATHAN'S FAMOUS, INC."
69891,NATIONAL BEVERAGE CORP.
70145,NATIONAL FUEL GAS COMPANY
70318,TENET HEALTHCARE CORP
70415,GP STRATEGIES CORP
70487,National Research Corporation
70502,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION
70530,NATIONAL SEMICONDUCTOR CORP
70684,NATIONAL WESTERN LIFE INSURANCE CO
70793,NBTY INC
70858,Bank of America Corporation
70866,NCR CORPORATION
71180,NEVADA POWER CO
71557,"NUVERA COMMUNICATIONS, INC."
71691,THE NEW YORK TIMES COMPANY
71829,"Newpark Resources, Inc."
72020,NICOR INC
72162,"NL INDUSTRIES, INC."
72170,INERGETICS INC
72205,"NOBILITY HOMES, INC."
72207,NOBLE ENERGY INC
72316,NORD RESOURCES CORP
72331,NORDSON CORPORATION
72333,"Nordstrom, Inc."
72444,"Vaxart, Inc."
72573,"MOVADO GROUP, INC."
72741,EVERSOURCE ENERGY
72903,XCEL ENERGY INC
72909,NORTHERN STATES POWER CO /WI/
72911,NORTEL NETWORKS CORP
72971,WELLS FARGO & COMPANY/MN
73020,NORTHWEST NATURAL GAS COMPANY
73048,BROADVIEW INSTITUTE INC
73088,NORTHWESTERN CORP
73124,NORTHERN TRUST CORPORATION
73290,"BIOMERICA, INC."
73309,NUCOR CORPORATION
73605,OAKRIDGE HOLDINGS INC
73756,OCEANEERING INTERNATIONAL INC
73887,BRISTOW GROUP INC
74046,OIL-DRI CORPORATION OF AMERICA
74145,OKLAHOMA GAS & ELECTRIC CO
74208,"UDR, Inc."
74260,OLD REPUBLIC INTERNATIONAL CORPORATION
74303,Olin Corporation
74688,OPT SCIENCES CORP
74818,ORBIT INTERNATIONAL CORP
75208,"OVERSEAS SHIPHOLDING GROUP, INC."
75252,"Owens & Minor, Inc."
75288,"OXFORD INDUSTRIES, INC."
75340,"P&F INDUSTRIES, INC."
75362,PACCAR Inc
75439,"MEDITE CANCER DIAGNOSTICS, INC."
75594,PACIFICORP
75677,PACKAGING CORP OF AMERICA
75679,"GCI, LLC"
75829,PALL CORP
76063,"PANHANDLE EASTERN PIPE LINE COMPANY, LP"
76149,PARADISE INC
76267,PARK AEROSPACE CORP.
76282,Park-Ohio Holdings Corp
76321,PARKER DRILLING CO /DE/
76334,PARKER-HANNIFIN CORPORATION
76348,"CHINA RUITAI INTERNATIONAL HOLDINGS CO., LTD."
76605,"PATRICK INDUSTRIES, INC."
77159,RANGER OIL CORPORATION
77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST
77360,Pentair plc
77449,PEP BOYS MANNY MOE & JACK
77476,"PepsiCo, Inc."
77543,Tutor Perini Corporation
77597,SPARTECH CORP
77776,PHH CORP
77877,"PDC ENERGY, INC."
78003,PFIZER INC
78128,"ESSENTIAL UTILITIES, INC."
78239,PVH CORP.
78311,SOOUM CORP.
78460,PIEDMONT NATURAL GAS CO INC
78749,"AGILYSYS, INC."
78814,Pitney Bowes Inc.
78838,PITTSBURGH & WEST VIRGINIA RAILROAD
78890,BRINK’S CO
79282,"BROWN & BROWN, INC."
79661,"PORTSMOUTH SQUARE, INC."
79879,PPG INDUSTRIES INC
79958,PRECISION CASTPARTS CORP
80035,Preformed Line Products Company
80124,PRESIDENTIAL LIFE CORP
80172,NATIONAL PRESTO INDUSTRIES INC
80420,"Powell Industries, Inc."
80424,PROCTER & GAMBLE CO
80661,PROGRESSIVE CORP/OH/
81018,PUBLIC SERVICE CO OF COLORADO
81033,PUBLIC SERVICE ELECTRIC & GAS CO
81061,"PUBLIX SUPER MARKETS, INC."
81100,"PUGET SOUND ENERGY, INC."
81157,PGI INCORPORATED
81318,"YUMA ENERGY, INC."
81362,QUAKER CHEMICAL CORPORATION
82020,UNITED STATES LIME & MINERALS INC
82166,"RAVEN INDUSTRIES, INC."
82473,INNSUITES HOSPITALITY TRUST
82628,SYMMETRICOM INC
82811,REGAL REXNORD CORP
83246,HSBC USA Inc.
83350,RESERVE PETROLEUM CO
83402,"RESOURCE AMERICA, INC."
84112,"George Risk Industries, Inc."
84129,RITE AID CORP
84246,RLI Corp
84290,"ROBBINS & MYERS, INC."
84748,ROGERS CORP
84839,"ROLLINS, INC."
85408,ROWAN COMPANIES PLC
85535,"Royal Gold, Inc"
85608,VALPEY FISHER CORP
85704,"HARRIS TEETER SUPERMARKETS, INC."
85961,"RYDER SYSTEM, INC."
85974,RYLAND GROUP INC
86115,SAFEGUARD SCIENTIFICS INC
86144,SAFEWAY INC
86264,CARBON ENERGY CORP
86312,"Travelers Companies, Inc."
86759,SANTA FE FINANCIAL CORP
87047,SB PARTNERS
87050,NEONODE INC.
87347,SCHLUMBERGER LIMITED/NV
87565,SCHULMAN A INC
87802,"SCIENTIFIC INDUSTRIES, INC."
88000,SCOTT’S LIQUID GOLD-INC.
88121,Seaboard Corporation
88205,"SPX TECHNOLOGIES, INC."
88572,SECURITY LAND & DEVELOPMENT CORP
88790,INTRICON CORP
88941,SEMTECH CORP
88948,Seneca Foods Corporation
89041,SAGEMARK COMPANIES LTD
89089,SERVICE CORPORATION INTERNATIONAL
89140,"SERVOTRONICS, INC."
89270,SL INDUSTRIES INC
89439,MUELLER INDUSTRIES INC
89800,THE SHERWIN-WILLIAMS COMPANY
90144,SIERRA PACIFIC POWER CO
90168,"SIFCO Industries, Inc"
90185,SIGMA ALDRICH CORP
90498,SIMMONS FIRST NATIONAL CORP
90721,PERVASIP CORP
90794,60 EAST 42ND STREET ASSOCIATES L.L.C.
90896,Skyline Champion Corporation
91142,A. O. Smith Corporation
91388,SMITHFIELD FOODS INC
91419,The J. M. Smucker Company
91440,Snap-on Inc
91576,KeyCorp
91668,"SOLITRON DEVICES, INC."
91741,SONESTA INTERNATIONAL HOTELS CORP
91767,Sonoco Products Company
91882,"DOMINION ENERGY SOUTH CAROLINA, INC."
91928,"South Jersey Industries, Inc."
92103,SOUTHERN CALIFORNIA EDISON COMPANY
92116,GOLDEN STATE WATER CO
92122,The Southern Company
92230,TRUIST FINANCIAL CORPORATION
92232,"SOUTHERN NATURAL GAS COMPANY, L.L.C."
92380,SOUTHWEST AIRLINES CO.
92416,SOUTHWEST GAS CORP
92521,SOUTHWESTERN PUBLIC SERVICE CO
92679,SPARTON CORP
93205,"LIVING 3D HOLDINGS, INC."
93314,VOLITIONRX LIMITED
93384,STANDARD MICROSYSTEMS CORP
93389,"Standard Motor Products, Inc."
93410,Chevron Corp
93451,STERLING BANCORP
93456,STANDARD REGISTER CO
93556,"STANLEY BLACK & DECKER, INC."
93631,FREDERICK'S OF HOLLYWOOD GROUP INC /NY/
93676,STARRETT L S CO
93751,STATE STREET CORPORATION
93859,BIGLARI HOLDINGS INC.
94049,STEPAN COMPANY
94344,STEWART INFORMATION SERVICES CORP
94610,SMURFIT-STONE CONTAINER CORP
94784,ALSERES PHARMACEUTICALS INC /DE
94845,LEVI STRAUSS & CO
95029,"STURM, RUGER & COMPANY, INC."
95047,DEER VALLEY CORP
95052,ELIZABETH ARDEN INC
95304,SUNOCO INC
95521,SUPERVALU INC
95552,"SUPERIOR INDUSTRIES INTERNATIONAL, INC."
95572,"SOLAR WIND ENERGY TOWER, INC."
95574,"SUPERIOR GROUP OF COMPANIES, INC."
95779,"SWANK, INC."
95953,Ascent Industries Co.
96021,Sysco Corporation
96223,JEFFERIES FINANCIAL GROUP INC.
96271,TAMPA ELECTRIC COMPANY
96289,RADIOSHACK CORP
96536,TAYLOR DEVICES INC
96699,TECHNICAL COMMUNICATIONS CORPORATION
96763,PULSE ELECTRONICS CORP
96793,"SUNLINK HEALTH SYSTEMS, INC."
96831,TECUMSEH PRODUCTS CO
96869,TEJON RANCH CO.
96885,TEL-INSTRUMENT ELECTRONICS CORP.
96943,TELEFLEX INCORPORATED
97134,TENNANT CO
97142,"TENNESSEE GAS PIPELINE COMPANY, L.L.C."
97196,AMERICAN INDEPENDENCE CORP
97210,"TERADYNE, INC."
97216,Terex Corporation
97472,TEXAS INDUSTRIES INC
97476,TEXAS INSTRUMENTS INCORPORATED
97517,TEXAS PACIFIC LAND TRUST
97745,THERMO FISHER SCIENTIFIC INC.
97854,THOMAS & BETTS CORP
98222,TIDEWATER INC
98246,TIFFANY & CO
98338,"TSR, Inc."
98362,TIMKEN CO
98618,ALANCO TECHNOLOGIES INC
98677,TOOTSIE ROLL INDUSTRIES INC
98720,TOREADOR RESOURCES CORP
98752,TOROTEL INC
99106,TRANS-LUX CORPORATION
99250,"Transcontinental Gas Pipe Line Company, LLC"
99302,TRANSCAT INC
99359,BREEZE-EASTERN CORP
99771,TRINITY CAPITAL CORP
99780,TRINITY INDUSTRIES INC
100122,TUCSON ELECTRIC POWER CO
100378,TWIN DISC INC
100412,250 WEST 57TH ST ASSOCIATES L.L.C.
100493,"TYSON FOODS, INC."
100517,"United Airlines Holdings, Inc."
100548,UGI UTILITIES INC
100591,ARGAN INC
100625,SIERRA MONITOR CORP /CA/
100716,UNICO AMERICAN CORPORATION
100726,"UNIFI, INC."
100790,Union Carbide Corporation
100885,UNION PACIFIC CORP
101063,CHIQUITA BRANDS INTERNATIONAL INC
101199,"UNITED FIRE GROUP, INC"
101295,"UNITED-GUARDIAN, INC"
101382,UMB FINANCIAL CORP
101390,UNITED MORTGAGE TRUST
101462,UNITED REFINING CO
101538,UNITED STATES ANTIMONY CORPORATION
101594,US ENERGY CORP
101778,Marathon Oil Corporation
101821,CANAL CAPITAL CORP
101829,RTX CORPORATION
101830,SPRINT CORP
101984,UNIVERSAL ELECTRONICS INC.
